n,beta,eta,gamma,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,optimal_delta,best_mse
5,1.0,100.0,1000,1003.1660129193835,1031.1369545936268,1084.5136517167239,1146.345776801936,1189.430182300429,,,,,,,,,,,0.46,245.19591820355603
5,1.0,100.0,1000,1008.4032072413577,1012.0279551821105,1037.2912015806558,1112.206259275435,1407.8359314865982,,,,,,,,,,,0.01,1231.5558208037212
5,1.0,100.0,1000,1025.4360547667616,1036.6642808712813,1043.485884497673,1123.6124593763489,1626.3913566652086,,,,,,,,,,,0.01,798.3927306387901
5,1.0,100.0,1000,1024.6003273388246,1039.6321555296067,1133.2415138673337,1256.7995978956133,1379.715525699297,,,,,,,,,,,0.5,3484.454991259338
5,1.0,100.0,1000,1005.1092921134549,1149.078509302375,1166.1397180487038,1212.9045920230653,1253.7191599289713,,,,,,,,,,,0.43,10643.56248221542
5,1.0,100.0,1000,1000.7722207260829,1048.9085882676875,1087.718380508174,1259.4930061981077,1366.878639285891,,,,,,,,,,,0.5,6881.739870656667
5,1.0,100.0,1000,1068.1913045479166,1080.1725166510057,1087.0461865942266,1128.4345952045728,1286.9273510893936,,,,,,,,,,,0.01,6291.859257600294
5,1.0,100.0,1000,1033.9819217359695,1104.8063748019208,1132.462043219518,1240.3664377842006,1413.7287714646693,,,,,,,,,,,0.5,13181.125538274278
5,1.0,100.0,1000,1003.6103028008458,1039.800583481487,1098.2770965571654,1240.8820377506324,1305.7597303070165,,,,,,,,,,,0.28,3939.0189836066343
5,1.0,100.0,1000,1040.0636679431682,1083.756950339482,1143.75995926248,1183.5231040723281,1279.2124791462597,,,,,,,,,,,0.5,4173.835359265266
5,1.0,100.0,1000,1027.287327616485,1040.1626744871062,1042.2158231645994,1045.9461838672003,1072.5985493533487,,,,,,,,,,,0.01,4767.06340867856
5,1.0,100.0,1000,1004.0555692528579,1016.0200265559288,1031.5714334215065,1138.2398289119678,1261.6495879220543,,,,,,,,,,,0.01,441.007521378217
5,1.0,100.0,1000,1013.8681154922376,1028.2784730794262,1060.8227963195372,1107.7004653843446,1415.7089043125309,,,,,,,,,,,0.01,157.71437979494175
5,1.0,100.0,1000,1017.7191682731805,1028.7167230717705,1030.3627858895893,1082.4619983668024,1169.3595733083016,,,,,,,,,,,0.01,2976.9196228762016
5,1.0,100.0,1000,1004.9150666185789,1018.8903785858597,1028.1055388880832,1061.6519598507011,1141.127161250945,,,,,,,,,,,0.01,2151.450161564123
5,1.0,100.0,1000,1047.7766367583936,1059.3594760399926,1085.7984342051143,1095.569811862148,1219.5441154535426,,,,,,,,,,,0.01,3609.4556548604705
5,1.0,100.0,1000,1022.061701809474,1035.8258913055315,1061.1341345067328,1092.9274743022052,1132.382161919657,,,,,,,,,,,0.01,1321.3468041353715
5,1.0,100.0,1000,1032.5576798312813,1039.3207959422245,1064.0962045936003,1093.0661194926054,1374.4379277135629,,,,,,,,,,,0.01,2358.3096537492834
5,1.0,100.0,1000,1090.3117216532794,1092.868727247941,1148.024629826074,1156.304612968013,1157.439776511469,,,,,,,,,,,0.04,918.6579242546287
5,1.0,100.0,1000,1010.4575528050599,1011.3147826919186,1132.4265847092802,1257.921247063732,1349.9911610432205,,,,,,,,,,,0.49,2495.8988431433213
5,1.0,100.0,1000,1014.8875505891299,1040.0943946255147,1052.7817232123869,1077.9359561695335,1150.5010469556553,,,,,,,,,,,0.01,565.51703823867
5,1.0,100.0,1000,1003.1865176972615,1014.5612410587504,1081.878958095791,1089.3498075816071,1296.9717248569934,,,,,,,,,,,0.47,8.602192037741261
5,1.0,100.0,1000,1029.5097332742762,1036.01499220878,1066.480325111173,1106.0263388502872,1223.7726353191474,,,,,,,,,,,0.01,2359.2477098966924
5,1.0,100.0,1000,1009.4688128726932,1013.6720378959659,1103.886428472076,1124.725210977385,1177.2701612637672,,,,,,,,,,,0.42,15.303703910448604
