n,beta,eta,gamma,t1,t2,t3,t4,t5,optimal_delta,best_relative_mse
5,1.0,100.0,1000,1003.1660129193835,1031.1369545936268,1084.5136517167239,1146.345776801936,1189.430182300429,0.431,0.03548893343043694
5,1.0,100.0,1000,1024.6003273388246,1039.6321555296067,1133.2415138673337,1256.7995978956133,1379.715525699297,1.001,0.411583229515351
5,1.0,100.0,1000,1005.1092921134549,1149.078509302375,1166.1397180487038,1212.9045920230653,1253.7191599289713,0.431,2.6702332529104535
5,1.0,100.0,1000,1000.7722207260829,1048.9085882676875,1087.718380508174,1259.4930061981077,1366.878639285891,0.601,0.6563728859297064
5,1.0,100.0,1000,1033.9819217359695,1104.8063748019208,1132.462043219518,1240.3664377842006,1413.7287714646693,1.001,0.9386757075379885
5,1.0,100.0,1000,1003.6103028008458,1039.800583481487,1098.2770965571654,1240.8820377506324,1305.7597303070165,0.301,0.4583639324418982
5,1.0,100.0,1000,1040.0636679431682,1083.756950339482,1143.75995926248,1183.5231040723281,1279.2124791462597,1.001,0.1415263101425012
5,1.0,100.0,1000,1027.287327616485,1040.1626744871062,1042.2158231645994,1045.9461838672003,1072.5985493533487,0.781,0.6612109339595288
5,1.0,100.0,1000,1090.3117216532794,1092.868727247941,1148.024629826074,1156.304612968013,1157.439776511469,0.531,0.2579728760522808
5,1.0,100.0,1000,1010.4575528050599,1011.3147826919186,1132.4265847092802,1257.921247063732,1349.9911610432205,0.501,0.31884295634739235
5,1.0,100.0,1000,1014.8875505891299,1040.0943946255147,1052.7817232123869,1077.9359561695335,1150.5010469556553,0.021,0.08818644211711076
5,1.0,100.0,1000,1009.4688128726932,1013.6720378959659,1103.886428472076,1124.725210977385,1177.2701612637672,0.421,0.0005404259197301874
5,1.0,100.0,1000,1012.7928942922481,1102.0560410245885,1107.0586241869723,1107.4433716357821,1591.1834280011324,0.701,0.6376227591001078
5,1.0,100.0,1000,1029.206112353973,1071.9435872998367,1096.077384704542,1199.761271084003,1248.1476150337733,0.601,0.07541252509178371
5,1.0,100.0,1000,1008.2256389110702,1029.8811427755618,1122.2297928643793,1148.1298936934043,1211.6215433820955,0.601,0.06527598140766801
5,1.0,100.0,1000,1004.6610707368202,1052.828590589425,1084.368781450793,1122.4284031442469,1129.0607589102917,0.641,0.11836369402171074
5,1.0,100.0,1000,1025.4972308870329,1034.050948287735,1120.6897047882796,1141.577766335205,1173.7952469578904,0.411,0.0009868123323549236
5,1.0,100.0,1000,1005.1052017618629,1066.6594934226252,1132.2972490434577,1216.4548072973573,1360.7383685197888,1.001,1.2982609524516375
5,1.0,100.0,1000,1020.0255936730161,1040.7687878651009,1063.520425507023,1079.2873674106322,1108.0885536008773,0.931,0.1847367525376107
5,1.0,100.0,1000,1040.3198092588902,1084.7880628870585,1088.557038614651,1152.099769664519,1230.6737153585343,0.601,0.004535949855041183
5,1.0,100.0,1000,1010.0961620270302,1038.1799521273133,1116.9005160993465,1156.6531786051587,1193.8146717232821,0.701,0.06013560732939087
5,1.0,100.0,1000,1013.2888762380051,1164.5312335903052,1184.598351976898,1242.3701671190477,1331.269862087755,0.611,2.0857845265854627
