beta,n,gamma_eta,delta,jparam,n_valid
2.0,7,0.1,0.0,0.6737453647645503,500
2.0,7,0.1,0.02,0.6272087570780481,500
2.0,7,0.1,0.04,0.609513100248288,500
2.0,7,0.1,0.06,0.5984675703012249,500
2.0,7,0.1,0.08,0.5931659015280265,500
2.0,7,0.1,0.1,0.5916093291337232,500
2.0,7,0.1,0.12,0.5921379930428388,500
2.0,7,0.1,0.14,0.5932575407973716,500
2.0,7,0.1,0.16,0.611317090575032,500
2.0,7,0.1,0.18,0.6234064271700601,500
2.0,7,0.1,0.2,0.6256469915508514,500
2.0,7,0.1,0.22,0.628055597351158,500
2.0,7,0.1,0.24,0.6306010468322262,500
2.0,7,0.1,0.26,0.6370645415637367,500
2.0,7,0.1,0.28,0.6449716961084525,500
2.0,7,0.1,0.3,0.653390788755212,500
2.0,7,0.1,0.32,0.6596882659002345,500
2.0,7,0.1,0.34,0.6643572206458946,500
2.0,7,0.1,0.36,0.6726830666762078,500
2.0,7,0.1,0.38,0.6788814348586121,500
2.0,7,0.1,0.4,0.6836974400314809,500
2.0,7,0.1,0.42,0.6889575328916029,500
2.0,7,0.1,0.44,0.691937554652891,500
2.0,7,0.1,0.46,0.6953432455739413,500
2.0,7,0.1,0.48,0.7012124889062858,500
2.0,7,0.1,0.5,0.7050840011420693,500
2.0,7,0.5,0.0,0.9724917283942239,500
2.0,7,0.5,0.02,0.8379168166561664,500
2.0,7,0.5,0.04,0.7499443485293226,500
2.0,7,0.5,0.06,0.6960369710877989,500
2.0,7,0.5,0.08,0.6541743630362302,500
2.0,7,0.5,0.1,0.624827529274818,500
2.0,7,0.5,0.12,0.6054785226509368,500
2.0,7,0.5,0.14,0.6152940087666916,500
2.0,7,0.5,0.16,0.6163043867325674,500
2.0,7,0.5,0.18,0.6120995809134308,500
2.0,7,0.5,0.2,0.6200718923239104,500
2.0,7,0.5,0.22,0.6235572484259088,500
2.0,7,0.5,0.24,0.6243248430907303,500
2.0,7,0.5,0.26,0.6258686029498663,500
2.0,7,0.5,0.28,0.6294949380635951,500
2.0,7,0.5,0.3,0.6349226699190051,500
2.0,7,0.5,0.32,0.6389839325915019,500
2.0,7,0.5,0.34,0.6418939789482871,500
2.0,7,0.5,0.36,0.6486052190017966,500
2.0,7,0.5,0.38,0.6536275743081117,500
2.0,7,0.5,0.4,0.6574534139610045,500
2.0,7,0.5,0.42,0.6634117162315353,500
2.0,7,0.5,0.44,0.6670193251892647,500
2.0,7,0.5,0.46,0.6729995959707588,500
2.0,7,0.5,0.48,0.6775955194481683,500
2.0,7,0.5,0.5,0.6825697469407349,500
2.0,7,1.0,0.0,1.5465384463919782,500
2.0,7,1.0,0.02,1.1562308402362398,500
2.0,7,1.0,0.04,0.9521200079810717,500
2.0,7,1.0,0.06,0.8148417432731334,500
2.0,7,1.0,0.08,0.732517838939334,500
2.0,7,1.0,0.1,0.6811054023159466,500
2.0,7,1.0,0.12,0.6616896724102145,500
2.0,7,1.0,0.14,0.6495359795315776,500
2.0,7,1.0,0.16,0.636900005349704,500
2.0,7,1.0,0.18,0.6338306637231946,500
2.0,7,1.0,0.2,0.6290203823475791,500
2.0,7,1.0,0.22,0.630753480632152,500
2.0,7,1.0,0.24,0.6317360335705939,500
2.0,7,1.0,0.26,0.6340685378499138,500
2.0,7,1.0,0.28,0.6366762911127032,500
2.0,7,1.0,0.3,0.643643613727414,500
2.0,7,1.0,0.32,0.6455594535604211,500
2.0,7,1.0,0.34,0.6506643868094838,500
2.0,7,1.0,0.36,0.6558606131522532,500
2.0,7,1.0,0.38,0.6587782720040424,500
2.0,7,1.0,0.4,0.6635679129584544,500
2.0,7,1.0,0.42,0.6673674849794717,500
2.0,7,1.0,0.44,0.674229946101395,500
2.0,7,1.0,0.46,0.6769309600623596,500
2.0,7,1.0,0.48,0.6814369647453798,500
2.0,7,1.0,0.5,0.685549094370944,500
2.0,10,0.1,0.0,0.48743196530059507,500
2.0,10,0.1,0.02,0.47622899392416357,500
2.0,10,0.1,0.04,0.47432427846994724,500
2.0,10,0.1,0.06,0.47383806686847196,500
2.0,10,0.1,0.08,0.4729044553258443,500
2.0,10,0.1,0.1,0.47243543958586126,500
2.0,10,0.1,0.12,0.4726640790641806,500
2.0,10,0.1,0.14,0.4730441852798193,500
2.0,10,0.1,0.16,0.4735273700671525,500
2.0,10,0.1,0.18,0.474740709005694,500
2.0,10,0.1,0.2,0.4801848000166316,500
2.0,10,0.1,0.22,0.4824122031927276,500
2.0,10,0.1,0.24,0.4865623201576228,500
2.0,10,0.1,0.26,0.48924091290847443,500
2.0,10,0.1,0.28,0.4922254768612135,500
2.0,10,0.1,0.3,0.4966721181053578,500
2.0,10,0.1,0.32,0.5035395595975847,500
2.0,10,0.1,0.34,0.506952954320975,500
2.0,10,0.1,0.36,0.510134909059182,500
2.0,10,0.1,0.38,0.514172322211355,500
2.0,10,0.1,0.4,0.5180554786862503,500
2.0,10,0.1,0.42,0.5217983075637952,500
2.0,10,0.1,0.44,0.5251146661572804,500
2.0,10,0.1,0.46,0.5285561362920635,500
2.0,10,0.1,0.48,0.5324292848080894,500
2.0,10,0.1,0.5,0.5367456135780869,500
2.0,10,0.5,0.0,0.8214167467961458,500
2.0,10,0.5,0.02,0.7257621039206718,500
2.0,10,0.5,0.04,0.6616081842087657,500
2.0,10,0.5,0.06,0.617844064387236,500
2.0,10,0.5,0.08,0.5816768044062058,500
2.0,10,0.5,0.1,0.5520964371009516,500
2.0,10,0.5,0.12,0.5303957613678211,500
2.0,10,0.5,0.14,0.5149819808312064,500
2.0,10,0.5,0.16,0.5042912807672442,500
2.0,10,0.5,0.18,0.496966418941087,500
2.0,10,0.5,0.2,0.49219853042054684,500
2.0,10,0.5,0.22,0.48932905827404066,500
2.0,10,0.5,0.24,0.49068253330574646,500
2.0,10,0.5,0.26,0.4913088539222823,500
2.0,10,0.5,0.28,0.4919522434859419,500
2.0,10,0.5,0.3,0.4931679067329919,500
2.0,10,0.5,0.32,0.49482934062109235,500
2.0,10,0.5,0.34,0.4979569815178446,500
2.0,10,0.5,0.36,0.5019304341314272,500
2.0,10,0.5,0.38,0.5055420451168191,500
2.0,10,0.5,0.4,0.5086561079161903,500
2.0,10,0.5,0.42,0.5116620200311921,500
2.0,10,0.5,0.44,0.5147516589823165,500
2.0,10,0.5,0.46,0.5175061408794625,500
2.0,10,0.5,0.48,0.5216599833565418,500
2.0,10,0.5,0.5,0.5254807644158072,500
2.0,10,1.0,0.0,1.2640981702875793,500
2.0,10,1.0,0.02,0.9555120028151088,500
2.0,10,1.0,0.04,0.7871128704852536,500
2.0,10,1.0,0.06,0.6775775225724433,500
2.0,10,1.0,0.08,0.6124449304589965,500
2.0,10,1.0,0.1,0.5722231591973995,500
2.0,10,1.0,0.12,0.5462613147309116,500
2.0,10,1.0,0.14,0.529082478840015,500
2.0,10,1.0,0.16,0.5176465491208664,500
2.0,10,1.0,0.18,0.5101266993830607,500
2.0,10,1.0,0.2,0.5053630497604831,500
2.0,10,1.0,0.22,0.5074346440015807,500
2.0,10,1.0,0.24,0.5062507899056119,500
2.0,10,1.0,0.26,0.5061494262239561,500
2.0,10,1.0,0.28,0.5111743526442901,500
2.0,10,1.0,0.3,0.512508112317056,500
2.0,10,1.0,0.32,0.5144187795088355,500
2.0,10,1.0,0.34,0.5187776994500284,500
2.0,10,1.0,0.36,0.5234886195429902,500
2.0,10,1.0,0.38,0.52601968602958,500
2.0,10,1.0,0.4,0.5306580162471514,500
2.0,10,1.0,0.42,0.5343883750725585,500
2.0,10,1.0,0.44,0.5377240807860859,500
2.0,10,1.0,0.46,0.541356295351343,500
2.0,10,1.0,0.48,0.5445883801974626,500
2.0,10,1.0,0.5,0.5474406678847042,500
2.0,20,0.1,0.0,0.3584522034997344,500
2.0,20,0.1,0.02,0.35582891348018997,500
2.0,20,0.1,0.04,0.35388432695176614,500
2.0,20,0.1,0.06,0.3533894104062302,500
2.0,20,0.1,0.08,0.3532804000116968,500
2.0,20,0.1,0.1,0.3534214133653124,500
2.0,20,0.1,0.12,0.35341783708565844,500
2.0,20,0.1,0.14,0.3535755614034545,500
2.0,20,0.1,0.16,0.3537287701609214,500
2.0,20,0.1,0.18,0.3541433268201118,500
2.0,20,0.1,0.2,0.3548271208587902,500
2.0,20,0.1,0.22,0.35576176684909244,500
2.0,20,0.1,0.24,0.35655708411241177,500
2.0,20,0.1,0.26,0.3574495238485491,500
2.0,20,0.1,0.28,0.35856470216046504,500
2.0,20,0.1,0.3,0.3598303752373304,500
2.0,20,0.1,0.32,0.36126772174307864,500
2.0,20,0.1,0.34,0.36284742163827965,500
2.0,20,0.1,0.36,0.3645393542462857,500
2.0,20,0.1,0.38,0.3663271797577666,500
2.0,20,0.1,0.4,0.3682167678020156,500
2.0,20,0.1,0.42,0.37022652596207367,500
2.0,20,0.1,0.44,0.37232505532539506,500
2.0,20,0.1,0.46,0.3744444429880039,500
2.0,20,0.1,0.48,0.37663260118991093,500
2.0,20,0.1,0.5,0.37969959362494776,500
